label,performance_gap,bias_cat_name,bias_type,steps,lang
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
1,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,2,male,gender,25004,zh
2,-2,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
2,0,male,gender,25004,zh
1,0,male,gender,25004,zh
4,2,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
5,1,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,-2,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,1,male,gender,25004,zh
2,-2,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
1,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
1,-3,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
5,1,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
1,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
1,-4,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,1,male,gender,25004,zh
2,0,male,gender,25004,zh
4,2,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,1,male,gender,25004,zh
3,1,male,gender,25004,zh
2,-1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,-1,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,-1,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,2,male,gender,25004,zh
2,0,male,gender,25004,zh
2,1,male,gender,25004,zh
2,1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
1,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,2,male,gender,25004,zh
2,0,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
2,0,male,gender,25004,zh
1,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,-1,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,0,male,gender,25004,zh
4,2,male,gender,25004,zh
1,0,male,gender,25004,zh
4,3,male,gender,25004,zh
5,3,male,gender,25004,zh
1,-1,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
1,0,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,-1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,2,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
5,3,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,2,male,gender,25004,zh
5,1,male,gender,25004,zh
5,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,-1,male,gender,25004,zh
4,1,male,gender,25004,zh
4,1,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,2,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
1,0,male,gender,25004,zh
2,1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,1,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,1,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,1,male,gender,25004,zh
4,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
4,1,male,gender,25004,zh
2,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
4,1,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
3,0,male,gender,25004,zh
4,0,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,1,male,gender,25004,zh
3,0,male,gender,25004,zh
3,1,male,gender,25004,zh
4,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,-1,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
2,0,male,gender,25004,zh
3,0,male,gender,25004,zh
2,-1,male,gender,25004,zh
